,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,1,0.4908256880733945,0.7567853722550454,0.6131550418382341,0.0010036120656877756,0.0010158477816730738,1.2235770554980263e-05,88
1,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,2,0.8440366972477065,0.5250085387208047,0.28682067489336427,0.03391760587692261,0.05988872051239014,0.02597111463546753,4400
2,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,3,0.9048165137614679,0.27627264858659256,0.17031091884207195,0.02238142117857933,0.037965934723615646,0.015584512613713741,1936
3,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,4,0.9174311926605505,0.2753385367991249,0.10023186581476076,0.03489895537495613,0.04333249107003212,0.008433536626398563,2552
4,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,5,0.9208715596330275,0.31528900322769216,0.03445515698077216,0.03855007514357567,0.045929085463285446,0.007379010785371065,5984
5,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,6,0.911697247706422,0.3958659501481425,0.06567000566024411,0.019459813833236694,0.022523481398820877,0.00306366803124547,2024
6,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,7,0.9277522935779816,0.27402829640937987,0.10367198950029695,0.0296490341424942,0.034029386937618256,0.004380352329462767,1936
7,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,8,0.9288990825688074,0.28675786223595773,0.061676628768963945,0.046158820390701294,0.05322086811065674,0.007062048185616732,3696
8,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,9,0.9323394495412844,0.290816281973427,0.04775202589527072,0.037981461733579636,0.04317452013492584,0.005193059798330069,3696
9,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,10,0.9254587155963303,0.33407492093515473,0.051026928069485465,0.031142428517341614,0.03525405749678612,0.004111628979444504,3168
10,roberta-base,glue,sst2,2,100,10,1.0,8,1,68,200,True,0.0,,Adagrad,0.0001,SGD,0.0001,11,0.9243119266055045,0.34263966045419286,0.03836159359247403,0.029256585985422134,0.032956141978502274,0.0036995564587414265,3256
