,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,1,0.4908256880733945,0.7071326478905634,0.44574072576659757,0.01416950486600399,0.016396526247262955,0.002227021846920252,1760
1,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,2,0.5091743119266054,0.8116887736757961,0.3353551636084079,0.012391988188028336,0.017608175054192543,0.00521618640050292,1760
2,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,3,0.8795871559633027,0.3291694509600281,0.33539404038027654,0.01530018262565136,0.036271996796131134,0.020971814170479774,1760
3,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,4,0.911697247706422,0.3927241332632481,0.16450356623766393,0.02235564962029457,0.03508905693888664,0.012733406387269497,1760
4,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,5,0.9013761467889908,0.5355871117170772,0.09225382054487868,0.018241090700030327,0.021437713876366615,0.003196623409166932,1760
5,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,6,0.7213302752293578,1.375213258081103,0.09155437441721007,0.020603230223059654,0.025117507204413414,0.004514277447015047,1760
6,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,7,0.8784403669724771,0.3703555238343468,0.14045028653916067,0.02781905233860016,0.03494308143854141,0.007124028634279966,1760
7,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,8,0.9139908256880734,0.27597080275134417,0.11738435544118767,0.024722492322325706,0.02975567616522312,0.005033183842897415,1760
8,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,9,0.9071100917431193,0.41162374035915605,0.08995693866388715,0.020123647525906563,0.024131376296281815,0.0040077283047139645,1760
9,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,10,0.9059633027522935,0.49783137106975334,0.09401981623729996,0.019560454413294792,0.023447832092642784,0.003887378377839923,1760
10,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,11,0.8268348623853211,1.20846374285716,0.08388171795007886,0.020552797242999077,0.024030186235904694,0.0034773892257362604,1760
11,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,12,0.9002293577981652,0.5223119319293759,0.0974070001606988,0.021242499351501465,0.02628769353032112,0.005045195110142231,1760
12,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,13,0.9162844036697247,0.3390801178150994,0.05495239104980032,0.01438205037266016,0.016658766195178032,0.002276715589687228,1760
13,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,14,0.908256880733945,0.33026991100031816,0.07464926524888121,0.01824602112174034,0.021569080650806427,0.0033230590634047985,1760
14,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,15,0.9162844036697247,0.31457221675566727,0.06774725514648086,0.017147613689303398,0.020400146022439003,0.003252532798796892,1760
15,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,16,0.9208715596330275,0.38660868350509875,0.06837976105313738,0.015776777639985085,0.018279919400811195,0.002503142459318042,1760
16,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,17,0.911697247706422,0.4135220421709047,0.07841999446220518,0.01850760728120804,0.021704040467739105,0.0031964327208697796,1760
17,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,18,0.9243119266055045,0.37196537870630714,0.06890553256373272,0.017564717680215836,0.020275192335247993,0.0027104737237095833,1760
18,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,19,0.9288990825688074,0.3130035148631811,0.07919885201486668,0.018713371828198433,0.02171807549893856,0.0030047036707401276,1760
19,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,20,0.9231651376146789,0.2881456737290671,0.05942650380201438,0.015014156699180603,0.01732826791703701,0.00231411075219512,1760
20,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,21,0.930045871559633,0.2877177159697642,0.05619363049582171,0.014243442565202713,0.01641174964606762,0.00216830731369555,1760
21,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,22,0.9105504587155964,0.4392963886607295,0.056012349332912145,0.015107015147805214,0.017745433375239372,0.002638418460264802,1760
22,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,23,0.926605504587156,0.3953677584766143,0.04956834634912162,0.013824187219142914,0.016362613067030907,0.002538425615057349,1760
23,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,24,0.930045871559633,0.34859604107551695,0.039561386839265196,0.012765632942318916,0.014920162037014961,0.0021545293275266886,1760
24,roberta-base,glue,sst2,2,100,10,1.0,8,20,-1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,25,0.9392201834862385,0.31140307508195886,0.03824427747880734,0.01327766664326191,0.015522748231887817,0.002245082054287195,1760
