,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,1,0.4908256880733945,0.6890053579566675,0.4291677883579343,0.015624197199940681,0.020131703466176987,0.004507505800575018,3520
1,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,2,0.8084862385321101,0.4133790633000365,0.15310363163303092,0.03716382384300232,0.06679622828960419,0.029632404446601868,3520
2,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,3,0.9139908256880734,0.284161209406485,0.10948909133194487,0.043980635702610016,0.06560477614402771,0.021624142304062843,3520
3,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,4,0.926605504587156,0.3668506554212558,0.07556878599308467,0.044800274074077606,0.054054658859968185,0.009254386648535728,3520
4,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,5,0.9334862385321101,0.3739089327944451,0.04678352993679833,0.028623048216104507,0.03286181762814522,0.004238768480718136,3520
5,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,6,0.9174311926605505,0.4844220561029308,0.05033159093719488,0.037363745272159576,0.043372370302677155,0.006008623633533716,3520
6,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,7,0.9231651376146789,0.4385791958097172,0.07560379629014775,0.059325143694877625,0.06819667667150497,0.008871534839272499,3520
7,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,8,0.9346330275229358,0.3308279386635041,0.055795082088992455,0.04387165606021881,0.05026916414499283,0.006397506222128868,3520
8,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,9,0.9357798165137615,0.2763046776227559,0.040994661865402536,0.03449169173836708,0.03898956999182701,0.004497879650443792,3520
9,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,10,0.9369266055045872,0.2778244773630873,0.039511371674926445,0.030938880518078804,0.035327740013599396,0.004388859029859304,3520
10,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,11,0.9288990825688074,0.32406807823481526,0.02776054724216919,0.02527962066233158,0.02877788245677948,0.003498262260109186,3520
11,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,12,0.9231651376146789,0.36920143290099244,0.0283674031262837,0.02506938949227333,0.02904590032994747,0.003976511303335428,3520
12,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,13,0.9151376146788991,0.4075285601696649,0.016242250687191283,0.015209737233817577,0.017124181613326073,0.0019144441466778517,3520
13,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,14,0.9151376146788991,0.4236884407236918,0.020752626292291593,0.022424522787332535,0.025427469983696938,0.00300294766202569,3520
14,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,15,0.9220183486238532,0.39928913562531354,0.01683832392287058,0.017813706770539284,0.020319372415542603,0.002505664946511388,3520
15,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,16,0.926605504587156,0.388885186316548,0.01938969538597617,0.019979963079094887,0.022529229521751404,0.0025492669083178043,3520
16,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,17,0.9323394495412844,0.3671388493003345,0.024340069764960552,0.021417226642370224,0.024165078997612,0.002747851423919201,3520
17,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,18,0.9346330275229358,0.3483773460355374,0.018650618551899405,0.02071809209883213,0.023284530267119408,0.00256643770262599,3520
18,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,19,0.9346330275229358,0.3284486230886531,0.02128089398767026,0.021708209067583084,0.024643950164318085,0.0029357403982430696,3520
19,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,20,0.9346330275229358,0.32308416084400826,0.01559683841116132,0.014860549941658974,0.016678811982274055,0.0018182615749537945,3520
20,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,21,0.9369266055045872,0.3309370519189109,0.013269321763036714,0.014113588258624077,0.01575540192425251,0.0016418140148743987,3520
21,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,22,0.9357798165137615,0.35175502485125176,0.011050569452476422,0.013825103640556335,0.015329289250075817,0.0015041854931041598,3520
22,roberta-base,glue,sst2,2,100,10,1.0,8,40,-1,200,False,0.0,,Adam,0.0001,SGD,0.0001,23,0.9392201834862385,0.36822108048550495,0.010595114225732439,0.011660845950245857,0.013172434642910957,0.0015115883434191346,3520
