,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,1,0.4908256880733945,0.7432955727664703,0.5101717898198825,0.0076784524135291,0.0081437230110168,0.0004652706556953,440,-1
1,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,2,0.5091743119266054,1.0293599404052858,0.3879742208995264,0.0072964164428412,0.0100409602746367,0.0027445438317954,440,-1
2,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,3,0.5172018348623854,1.1566151705903744,0.4451138445895842,0.0030230099800974,0.0068237022496759,0.0038006922695785,440,-1
3,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,4,0.6731651376146789,1.1247975684514424,0.2578099618589675,0.0026999569963663,0.0062710493803024,0.003571092383936,440,-1
4,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,5,0.8784403669724771,0.3925752434196002,0.1359167509128085,0.0036057294346392,0.0047237644903361,0.0011180351721122,440,-1
5,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,6,0.7075688073394495,0.9734886732601792,0.1309496914574199,0.0028603728860616,0.0040004956535995,0.0011401226511225,440,-1
6,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,7,0.904816513761468,0.2744346641414209,0.197003462141041,0.0040327371098101,0.0054138391278684,0.0013811020180583,440,-1
7,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,8,0.9231651376146788,0.2186931393391222,0.1678691794053355,0.003638953436166,0.0043161041103303,0.0006771507323719,440,-1
8,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,9,0.9220183486238532,0.2373892608901844,0.1345596587444147,0.0035996430087834,0.004100298974663,0.0005006560240872,440,-1
9,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,10,0.9013761467889908,0.2850864069245824,0.1308104483680588,0.0030804008711129,0.0034663304686546,0.0003859295975416,440,-1
10,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,11,0.9094036697247706,0.2999460620660369,0.1161102986864915,0.0032961214892566,0.0037597708869725,0.0004636495141312,440,-1
11,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,12,0.93348623853211,0.2035985782554527,0.1318730690638767,0.0036781248636543,0.0044698561541736,0.0007917312323115,440,-1
12,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,13,0.908256880733945,0.300664420297301,0.0806254968367813,0.0026382864452898,0.0031863094773143,0.0005480229738168,440,-1
13,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,14,0.926605504587156,0.2510518095981535,0.105179765825689,0.0033683804795145,0.0038031430449336,0.0004347625945229,440,-1
14,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,15,0.9243119266055044,0.215059406250083,0.096974079564309,0.0031399726867675,0.0034965914674103,0.0003566188097465,440,-1
15,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,16,0.9105504587155964,0.2945672605067081,0.0974222765514489,0.0031022978946566,0.0035449774004518,0.0004426794766914,440,-1
16,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,17,0.9357798165137616,0.2163588392116778,0.1152766679432931,0.0030320018995553,0.0034428150393068,0.0004108131979592,440,-1
17,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,18,0.9380733944954128,0.2179371255659284,0.1032826852829153,0.0035004096571356,0.0039073480293154,0.0004069384303875,440,-1
18,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,19,0.9323394495412844,0.2028567016833897,0.1159457308462482,0.0033604404889047,0.0037993707228451,0.0004389302339404,440,-1
19,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,20,0.9231651376146788,0.2530275036008396,0.0864229865112363,0.0029929655138403,0.0033301189541816,0.0003371534403413,440,-1
20,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,21,0.9311926605504588,0.207662173980471,0.0909401209207135,0.0031845357734709,0.0035376127343624,0.0003530769608914,440,-1
21,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,22,0.9288990825688074,0.2477635223185643,0.0938731129131205,0.003251813352108,0.003629392478615,0.0003775790682993,440,-1
22,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,23,0.9369266055045872,0.2188464435577871,0.0864361365928462,0.0032605580054223,0.0036908853799104,0.0004303273744881,440,-1
23,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,24,0.9369266055045872,0.2276180159843125,0.0695690184261713,0.0028276473749428,0.00315837492235,0.0003307274891994,440,-1
24,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,25,0.9243119266055044,0.2555381577128732,0.0685437873041056,0.0030223773792386,0.0035601665731519,0.0005377891357056,440,-1
25,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,26,0.9277522935779816,0.2471085637936009,0.0881066666040516,0.0034088320098817,0.003794576972723,0.0003857448755297,440,-1
26,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,27,0.9357798165137616,0.2169485479794066,0.1061449272590372,0.0038432874716818,0.0042978655546903,0.0004545781121123,440,-1
27,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,28,0.9105504587155964,0.3281332075749652,0.0714960080773083,0.0029199193231761,0.0032801632769405,0.0003602438955567,440,-1
28,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,29,0.9288990825688074,0.2378638489267985,0.0705289075725754,0.0027667731046676,0.0030968450009822,0.0003300719254184,440,-1
29,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,30,0.9220183486238532,0.285178169955226,0.0883527507239804,0.0035890405997633,0.0040463921613991,0.000457351678051,440,-1
30,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,31,0.9174311926605504,0.3169567385707648,0.0576620699799439,0.0024712891317903,0.0027303912211209,0.0002591020602267,440,-1
31,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,32,0.9288990825688074,0.2485083372934524,0.0717547262823526,0.0029574776999652,0.0033281052019447,0.0003706276183947,440,-1
32,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,33,0.930045871559633,0.2506158627300531,0.0669221848114235,0.0026604030281305,0.0029644342139363,0.0003040312440134,440,-1
33,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,34,0.9243119266055044,0.2511472325812632,0.0617394076135612,0.0028745378367602,0.0031590871512889,0.0002845493145287,440,-1
34,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,35,0.9277522935779816,0.2374761747036112,0.0843316334077231,0.003286825492978,0.003634164109826,0.0003473385295365,440,-1
35,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,36,0.9357798165137616,0.2382573313485625,0.0737885459540253,0.0031304000876843,0.0035757941659539,0.0004453939618542,440,-1
36,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,37,0.930045871559633,0.2364947501646884,0.0745744691759781,0.0034014836419373,0.0038118453230708,0.0004103617393411,440,-1
37,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,38,0.9357798165137616,0.2440324976619486,0.0656920522096069,0.0029284232296049,0.0033095683902502,0.0003811451606452,440,-1
38,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,39,0.9346330275229358,0.2370026980509657,0.0794735835081188,0.0036273126024752,0.0041263634338974,0.0004990508896298,440,-1
39,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,40,0.9254587155963304,0.2645176149383529,0.0629407887558177,0.0031397754792124,0.0034658864606171,0.0003261109231971,440,-1
40,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,41,0.94151376146789,0.233401961016913,0.0773487392136435,0.0032993927597999,0.0037520963232964,0.0004527035052888,440,-1
41,roberta-base,glue,sst2,2,100,10,1.0,8,5,200,False,0.0,,Adagrad,0.0001,SGD,0.0001,42,0.9323394495412844,0.2437585738344425,0.0679768983658075,0.0031740646809339,0.0035289681982249,0.0003549035754986,440,-1
